Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Tajikistan,69.2,85,E. Europe & C. Asia,orange,↑,orange,➚,red,➚,orange,,orange,→,orange,➚,yellow,➚,orange,→,red,→,orange,,orange,➚,green,➚,green,➚,grey,,red,→,red,→,orange,➚
"Iran, Islamic Rep.",69.1,86,MENA,yellow,→,red,→,orange,➚,orange,↑,red,→,red,➚,red,→,red,→,orange,↑,red,↓,orange,→,orange,➚,orange,➚,orange,➚,red,→,red,→,orange,→
Bolivia,68.9,87,LAC,yellow,➚,orange,→,red,→,yellow,➚,orange,→,red,➚,red,➚,orange,→,red,➚,red,➚,orange,➚,yellow,➚,yellow,➚,grey,,red,↓,red,→,yellow,↑
Paraguay,68.8,88,LAC,yellow,↑,yellow,→,red,➚,orange,→,orange,➚,orange,↑,yellow,→,orange,↓,orange,➚,red,➚,orange,➚,orange,→,green,→,grey,,red,→,red,→,orange,➚
Cabo Verde,68.8,89,Sub-Saharan Africa,orange,➚,red,→,red,➚,orange,→,yellow,➚,orange,➚,red,➚,grey,,orange,➚,red,,orange,➚,grey,,green,→,red,→,orange,➚,orange,➚,yellow,↑
Oman,68.6,90,MENA,grey,,red,→,orange,➚,yellow,➚,red,→,red,➚,red,➚,yellow,↑,orange,➚,grey,,orange,➚,orange,↑,red,→,orange,→,orange,→,grey,,yellow,↑
Turkmenistan,68.5,91,E. Europe & C. Asia,green,→,orange,→,red,→,grey,,yellow,➚,red,↑,red,➚,red,↓,red,→,grey,,orange,→,orange,➚,orange,→,grey,,red,→,red,→,red,→
Suriname,68.2,92,LAC,grey,,orange,➚,red,→,orange,↓,orange,➚,orange,↑,orange,➚,red,↓,orange,➚,grey,,orange,→,grey,,yellow,→,yellow,→,red,→,red,→,yellow,↑
Mauritius,68.0,93,Sub-Saharan Africa,green,↑,orange,→,orange,→,orange,→,orange,➚,orange,↑,red,→,orange,➚,orange,↑,orange,,yellow,→,grey,,yellow,→,red,→,red,→,orange,→,orange,↑
Saudi Arabia,67.7,94,MENA,green,↑,red,→,orange,➚,yellow,→,red,→,orange,↑,orange,➚,yellow,➚,orange,➚,grey,,orange,➚,red,➚,red,➚,red,→,red,↓,orange,↓,green,↑
Lebanon,67.5,95,MENA,green,→,red,→,red,→,grey,,red,→,orange,➚,orange,➚,red,↓,yellow,↑,yellow,,red,↓,orange,↓,orange,➚,red,➚,red,↓,red,→,red,→
Guyana,67.4,96,LAC,green,↑,orange,➚,red,➚,yellow,↑,orange,➚,orange,→,red,→,orange,➚,orange,➚,grey,,orange,➚,grey,,orange,→,red,➚,orange,➚,red,→,orange,↑
Panama,67.3,97,LAC,yellow,➚,red,➚,red,➚,orange,➚,orange,➚,orange,➚,orange,→,red,→,orange,➚,red,→,yellow,↑,orange,➚,orange,↓,red,→,red,→,red,→,orange,↑
Philippines,67.1,98,East & South Asia,orange,➚,orange,➚,red,➚,orange,→,orange,→,orange,↑,orange,→,red,➚,orange,➚,red,➚,orange,→,green,➚,yellow,→,red,➚,red,→,red,→,orange,➚
Nepal,66.5,99,East & South Asia,orange,➚,orange,→,red,➚,orange,→,orange,➚,orange,↑,red,→,red,→,orange,➚,orange,,red,→,green,→,green,→,grey,,red,→,red,→,orange,➚
Qatar,66.2,100,MENA,grey,,red,→,orange,➚,yellow,➚,orange,➚,red,➚,red,➚,orange,↑,orange,➚,grey,,orange,➚,red,↑,red,→,orange,➚,orange,↓,orange,↓,orange,➚
Bangladesh,65.9,101,East & South Asia,orange,➚,orange,➚,red,➚,yellow,↑,orange,→,red,➚,red,➚,orange,→,orange,➚,orange,,red,→,green,↑,green,→,red,↓,red,↓,red,↓,red,→
Brunei Darussalam,65.7,102,East & South Asia,grey,,red,➚,orange,→,green,→,orange,→,red,↑,red,➚,orange,→,orange,↑,grey,,green,↑,red,→,red,↓,red,→,red,→,red,↓,orange,➚
Cambodia,64.8,103,East & South Asia,grey,,orange,➚,red,→,orange,➚,red,➚,red,➚,red,➚,red,→,red,➚,grey,,orange,➚,yellow,→,green,→,red,→,red,→,red,→,orange,➚
